time,survival_prob
1.0,0.9854014598540146
2.0,0.9781021897810219
3.0,0.9708029197080292
4.0,0.9635036496350364
7.0,0.9416058394160584
8.0,0.9124087591240875
10.0,0.8978102189781021
11.0,0.8905109489051094
12.0,0.875912408759124
13.0,0.8613138686131385
15.0,0.8467153284671531
16.0,0.8394160583941604
18.0,0.8175182481751824
19.0,0.802919708029197
20.0,0.7883211678832116
21.0,0.7737226277372262
22.0,0.7664233576642335
24.0,0.7518248175182481
25.0,0.7299270072992701
27.0,0.7225540072255401
29.0,0.7151810071518101
30.0,0.70043500700435
31.0,0.68568900685689
33.0,0.6783160067831601
35.0,0.6709430067094301
36.0,0.6635700066357001
42.0,0.6561970065619701
43.0,0.6488240064882401
44.0,0.6414510064145101
45.0,0.6340780063407802
48.0,0.6267050062670502
49.0,0.6193320061933202
51.0,0.5972130059721302
52.0,0.5750940057509403
53.0,0.5677210056772103
54.0,0.5529750055297503
56.0,0.5456020054560203
59.0,0.5382290053822903
61.0,0.5308560053085604
63.0,0.5234830052348304
72.0,0.5161100051611004
73.0,0.5087370050873704
80.0,0.4939910049399104
82.0,0.48661800486618034
83.0,0.48661800486618034
84.0,0.4791315740220853
87.0,0.4716451431779902
90.0,0.464037963449313
92.0,0.4564307837206357
95.0,0.4412164242632812
97.0,0.4412164242632812
99.0,0.4257351462189556
100.0,0.41799450719679276
103.0,0.4101078183817589
105.0,0.40206648860956756
110.0,0.3940251588373762
111.0,0.3779424992929935
112.0,0.36990116952080215
117.0,0.35381850997641945
118.0,0.3457771802042281
122.0,0.33773585043203674
123.0,0.33773585043203674
126.0,0.3294983906654017
132.0,0.3212609308987667
133.0,0.31302347113213164
139.0,0.3047860113654966
140.0,0.29654855159886157
143.0,0.28831109183222653
144.0,0.2800736320655915
151.0,0.27183617229895646
153.0,0.2635987125323214
156.0,0.2553612527656864
162.0,0.23888633323241631
164.0,0.23064887346578128
177.0,0.22241141369914624
182.0,0.22241141369914624
186.0,0.2138571285568714
200.0,0.20530284341459654
201.0,0.19674855827232168
216.0,0.18819427313004683
228.0,0.17963998798777198
231.0,0.17108570284549712
242.0,0.16208119216941833
250.0,0.15307668149333953
260.0,0.14407217081726073
278.0,0.13506766014118193
283.0,0.12606314946510314
287.0,0.11705863878902434
314.0,0.10805412811294555
340.0,0.09904961743686676
357.0,0.09004510676078796
378.0,0.08104059608470916
384.0,0.07203608540863037
389.0,0.06303157473255157
392.0,0.05402706405647278
411.0,0.04502255338039398
467.0,0.03601804270431518
553.0,0.027013532028236385
587.0,0.01800902135215759
991.0,0.009004510676078796
999.0,0.0
